Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2023-01-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0.5,0,0,0,0,0,25.1,0,0,0,0,3.4,0,0,0,0,0,0,1.4,0,0,0,6.8,0,0,0,0,0
2023-01-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,3
2023-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1,0,0,0,0,0
2023-01-30,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,1,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0
2023-01-31,0,0,0,4.5,0,0,1.7,0,0,0,0,0,0,0,0,0,9.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,2,0,0,13,0,0,0,0,0,6.8,0,0
2023-02-01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0.5,0,0
2023-02-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0
2023-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0
2023-02-04,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-05,0,0,0,0,18.7,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,1.3,0
2023-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0
2023-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2,0,0,0,10.3,0,0,0.5,0,0,0,0,0,0,1.1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,0,0,0,0,0
2023-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0
2023-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0
2023-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0
2023-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0
2023-02-14,0,0,5.5,0,0.5,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,1.1,0,0,0,0,3.7
2023-02-15,0,0,1.2,0,0,7.6,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2,0.5,0,0,0,0,0,9.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,0
2023-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-21,0,0,0,0,3.3,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,1.2,0,0,0,0,1.5,0,3.8,0.6,0,0,0,0,0.5,0,0,1.7,0,0,0,2,0,0,1,1.7,0,0,0,2.9,5.2
2023-02-22,0,0,0,0,1,1.2,0,0,0,0,0,3.6,0,0,8.7,0,0,0,0,0,4.7,19.7,2.6,0,0,0,1.6,0,2.3,0,0,0,0,0,0,0,0.6,1.7,0,0,9.7,0,0,14,1.4,0,0,0,13.8,5.3
2023-02-23,0,4,0,0,0.5,0,3.7,0,0,0,0,0,0,0,0,0,0,0,1.9,0,8,0.7,5.3,0,0,0,0.6,0,13.3,0,0,0,0,0,0,0,0,0,5,0,2.2,0,0,0,14,0,0,0,5.2,0
2023-02-24,0,0,0,0,52.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0
2023-02-25,0,0,0,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.9,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-26,0,0,0,0,1.7,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.3,1.8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3.2,1.8,0,0,0,0,0
2023-02-27,0,0,0,0,10.1,0,0.9,0,0,0,0,11.8,0,0,0,0,0,0,0.4,0,0.5,0,0,0,0,0,0,0.6,0.3,0,0,1.4,0,0,0,0,0.1,0,0,0,0,0,0,2.7,0.3,0,0,0,0.2,0
2023-02-28,0,0.2,0,0,9.5,0,5.2,0,0,0,0,6.1,0,0,0,0,0,0,3.1,0,7.5,0,0.4,0,0,1.7,0,4.3,7.6,0,0,1.7,0,0,0,0,0.4,0,3.4,0,0,0,0,4,2.3,0,0,0,0.1,0
2023/3/1,0,0.7,9.7,0,12.4,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1.9,0,0,3.4,3.1,0,0,0,0,2.8,2.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,8.4,0.5,0,0,0,1.4,1.9
2023/3/2,0,0.2,0,0,0,3.1,0,0,0,0,0,0.1,0,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0.7,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
2023/3/3,0,0.2,0,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,3.9,0,0,0.2,2.3,0,0,0,0,0,0,0,0,4.8,2.2,0,0,0,0,1.1,0.8,0,0,0,0,0.4
2023/3/4,0,0,0,0,0.5,0,5.6,0,0,0,0,6.5,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0.2,9.9,0,0,0.2,0,0,0,0,0.1,2.5,6.5,0,0,0,0,0.7,0.9,0,0,0.3,0.1,0.1
2023/3/5,0,0,0,0,5.6,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0.1,0.2,0,0,1.9,0,6.8,0,0.3,0,0,0,1.4,0,0,2.6,0,0,0,6,0,0,3,0.2,0,0,0,0.1,0
2023/3/6,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,12.7,1.5,0,0,0,0,1.7,0,0,0,0,0,0,0,0,4.2,0,0,0,1.4,0,0,0,0.3,0,0,0,16.5,0
2023/3/7,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,1.8,0,0,0,0.2,0.3,0,0.1,0,0,2.4,0,6.5,0,0,0.7,4.1,0,0,3.5,0,0,0,1.8,0,0,0,0.1,0
2023/3/8,0,0.2,0,0,0,0,0,0,0,0,0,7.2,0,0,5.5,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023/3/9,0,0.2,0,0,10.4,0,0,0,0,0,0,0.9,0,0,27.9,0,0,0,0.4,0,0,0,4.3,0,0,1.9,10.3,0,0,0,0,0,0,3.9,0,0,10.1,0,0,0,10.6,0,0,1.1,0.4,0,0,0,16,0.2
2023/3/10,0,0.2,0,0,110.1,0,1.9,0,0,0,0,43.4,0,0.2,2.3,0,0,0,0,0.3,0,1.8,4.2,0,0,0,0,2.1,0,0,0,0,0,0.5,0.9,0,7.3,14.7,0,0,0.1,0,0,1.8,0.2,0,0,0.6,17.3,0.1
